                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5722,                 29.718,                 4.7338,                 0.1668,                0.25455,                0.15556,                0.05275,                 5.3483,                 21.346,                 4.4259,                0.00028,                0.00028,                0.00028
                      2,                 4.1705,                 11.529,                 3.4962,                 0.1668,                0.25455,                0.15556,                0.05275,                    nan,                    nan,                    nan,             0.00057943,             0.00057943,             0.00057943
                      3,                 4.0755,                 6.0499,                 3.3884,                 0.1668,                0.25455,                0.15556,                0.05275,                    nan,                    nan,                    nan,             0.00087826,             0.00087826,             0.00087826
                      4,                 3.6717,                 4.6364,                 3.4706,                 0.1668,                0.25455,                0.15556,                0.05275,                    nan,                    nan,                    nan,              0.0011765,              0.0011765,              0.0011765
                      5,                 3.7823,                 3.8707,                 3.3805,                 0.1668,                0.25455,                0.15556,                0.05275,                    nan,                    nan,                    nan,              0.0014741,              0.0014741,              0.0014741
                      6,                 3.6934,                   3.59,                 3.3899,                 0.1668,                0.25455,                0.15556,                0.05275,                    nan,                    nan,                    nan,              0.0017712,              0.0017712,              0.0017712
                      7,                 4.1074,                 3.9279,                 3.8302,                 0.1668,                0.25455,                0.15556,                0.05275,                    nan,                    nan,                    nan,              0.0019881,              0.0019881,              0.0019881
                      8,                   3.98,                 3.5941,                 3.7061,                0.01387,                0.27273,                0.00767,                0.00266,                    nan,                    nan,                    nan,              0.0019861,              0.0019861,              0.0019861
                      9,                  3.687,                 2.9868,                 3.4569,                0.25916,                0.36364,                0.20838,                0.08786,                    nan,                    nan,                    nan,              0.0019842,              0.0019842,              0.0019842
                     10,                 3.6526,                 2.9694,                 3.4839,                0.38738,                0.36364,                0.25296,                0.06679,                    nan,                    nan,                    nan,              0.0019822,              0.0019822,              0.0019822
                     11,                 3.7591,                 3.2226,                 3.6658,                0.72552,                0.49091,                0.56656,                 0.2604,                 3.8686,                 15.643,                 5.0605,              0.0019802,              0.0019802,              0.0019802
                     12,                  3.447,                 2.7207,                 3.4221,                0.47574,                0.58182,                0.44792,                0.17386,                 3.7677,                 8.7545,                 4.4655,              0.0019782,              0.0019782,              0.0019782
                     13,                 3.4353,                 2.4608,                 3.3301,                0.40955,                0.36364,                 0.3117,                 0.1036,                 4.2584,                 10.185,                 5.5981,              0.0019762,              0.0019762,              0.0019762
