                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.0648,                 21.994,                 5.1332,                      0,                      0,                      0,                      0,                 5.1075,                 36.668,                 4.7771,                 0.0002,                 0.0002,                 0.0002
                      2,                  4.211,                 11.156,                 3.3464,                0.12249,                0.16364,                0.10771,                0.03772,                 5.4141,                 398.34,                 6.1582,             0.00041958,             0.00041958,             0.00041958
                      3,                 3.8104,                 6.4032,                 3.1523,                0.02727,                0.43636,                0.02168,                0.00508,                    nan,                    nan,                    nan,             0.00063873,             0.00063873,             0.00063873
                      4,                 4.0242,                  5.237,                 3.4315,                0.02727,                0.43636,                0.02168,                0.00508,                    nan,                    nan,                    nan,             0.00085745,             0.00085745,             0.00085745
                      5,                 4.0431,                 3.9113,                 3.4253,                0.02727,                0.43636,                0.02168,                0.00508,                    nan,                    nan,                    nan,              0.0010757,              0.0010757,              0.0010757
                      6,                 4.3172,                 4.0582,                  3.585,                0.02727,                0.43636,                0.02168,                0.00508,                    nan,                    nan,                    nan,              0.0012936,              0.0012936,              0.0012936
                      7,                 3.8942,                 3.2561,                 3.5644,                0.00079,                0.23636,                0.00053,                  7e-05,                 8.6808,                    inf,                 85.503,               0.001511,               0.001511,               0.001511
                      8,                 4.0648,                 2.9676,                  3.462,                0.00033,                0.09091,                0.00019,                  7e-05,                    nan,                    nan,                    nan,              0.0017279,              0.0017279,              0.0017279
                      9,                 3.9077,                 2.9455,                 3.6119,                0.00033,                0.09091,                0.00019,                  7e-05,                    nan,                    nan,                    nan,              0.0019445,              0.0019445,              0.0019445
                     10,                 3.8304,                 2.8497,                 3.4704,                0.00033,                0.09091,                0.00019,                  7e-05,                    nan,                    nan,                    nan,              0.0019822,              0.0019822,              0.0019822
                     11,                 3.8439,                 2.8401,                 3.6008,                 0.0094,                0.07273,                 0.0022,                0.00031,                 6.6635,                 162.54,                 6.3067,              0.0019802,              0.0019802,              0.0019802
                     12,                  3.519,                 2.8635,                 3.4539,                 0.0094,                0.07273,                 0.0022,                0.00031,                 7.6546,                 278.33,                 10.535,              0.0019782,              0.0019782,              0.0019782
                     13,                 3.4817,                 2.5065,                 3.3713,                 0.0094,                0.07273,                 0.0022,                0.00031,                    nan,                    nan,                    nan,              0.0019762,              0.0019762,              0.0019762
                     14,                 3.6181,                 2.2937,                 3.4395,                0.00025,                0.03636,                0.00012,                  2e-05,                    nan,                    nan,                    nan,              0.0019743,              0.0019743,              0.0019743
                     15,                 3.5232,                 2.0634,                 3.3702,                0.00095,                0.07273,                0.00054,                0.00026,                    nan,                    nan,                    nan,              0.0019723,              0.0019723,              0.0019723
                     16,                    3.6,                 1.9984,                 3.5236,                0.00095,                0.07273,                0.00054,                0.00026,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                     17,                 3.4688,                 2.1099,                 3.3193,                0.34089,                0.09091,                0.04613,                 0.0114,                    nan,                    nan,                    nan,              0.0019683,              0.0019683,              0.0019683
                     18,                 3.4131,                 2.0813,                 3.3718,                0.78881,                0.09091,                0.11424,                0.05531,                    nan,                    nan,                    nan,              0.0019663,              0.0019663,              0.0019663
                     19,                 3.3603,                  1.981,                 3.3353,                0.05103,                    0.6,                0.03823,                0.01811,                    nan,                    nan,                    nan,              0.0019644,              0.0019644,              0.0019644
                     20,                 3.3967,                 1.8512,                 3.2478,                0.00688,                0.38182,                0.00438,                0.00214,                    nan,                    nan,                    nan,              0.0019624,              0.0019624,              0.0019624
                     21,                 3.3066,                  1.842,                 3.2573,                0.01871,                0.12727,                0.00618,                0.00266,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                     22,                 3.2368,                 1.6791,                 3.2075,                0.69515,                0.54545,                 0.6334,                0.27792,                 3.9792,                  3.072,                 4.1627,              0.0019584,              0.0019584,              0.0019584
                     23,                 3.2224,                 1.7568,                 3.1294,                0.75622,                0.63636,                0.67985,                0.23389,                  4.857,                 2.4573,                  4.588,              0.0019564,              0.0019564,              0.0019564
                     24,                 3.1987,                 1.6182,                 3.2336,                0.55809,                0.55115,                0.51686,                0.26252,                 3.6977,                 3.3542,                  3.852,              0.0019545,              0.0019545,              0.0019545
                     25,                 3.2923,                 1.7443,                 3.2233,                0.61955,                0.53303,                0.53156,                0.18938,                 4.4837,                 3.6516,                 4.2778,              0.0019525,              0.0019525,              0.0019525
                     26,                 3.1187,                  1.632,                 3.2035,                0.24798,                0.14545,                0.20346,                0.08063,                 4.2106,                  6.097,                 4.2091,              0.0019505,              0.0019505,              0.0019505
                     27,                 3.0604,                  1.763,                  3.172,                 0.3669,                0.25455,                0.22984,                0.10702,                 4.4391,                 5.9131,                 4.3111,              0.0019485,              0.0019485,              0.0019485
                     28,                  2.997,                 1.5674,                 3.1216,                0.48733,                    0.4,                0.33977,                0.13208,                 4.2976,                 4.7581,                 4.4261,              0.0019465,              0.0019465,              0.0019465
                     29,                 3.0152,                 1.5833,                 3.0806,                0.54282,                0.66926,                0.60762,                0.26736,                 3.6054,                 3.5113,                 3.9585,              0.0019446,              0.0019446,              0.0019446
                     30,                 2.9698,                 1.5737,                 3.0462,                0.80693,                0.60804,                0.67108,                0.27703,                 4.2803,                 2.6757,                 4.4931,              0.0019426,              0.0019426,              0.0019426
                     31,                  2.943,                 1.4813,                  3.055,                 0.8279,                 0.6998,                0.69319,                0.28069,                 4.6022,                 2.5805,                 4.4754,              0.0019406,              0.0019406,              0.0019406
                     32,                 2.7885,                 1.4186,                 3.1093,                0.71108,                0.61818,                0.69662,                 0.2867,                  4.335,                 2.5932,                  4.426,              0.0019386,              0.0019386,              0.0019386
                     33,                 2.9239,                  1.502,                 3.0038,                 0.5014,                0.63998,                0.54236,                0.21303,                 4.4174,                 2.7372,                 4.2811,              0.0019366,              0.0019366,              0.0019366
                     34,                 2.9535,                 1.6428,                 3.0267,                 0.7649,                0.76907,                0.77781,                 0.3553,                 3.6789,                 1.8723,                 3.9056,              0.0019347,              0.0019347,              0.0019347
                     35,                 2.9229,                  1.525,                  3.024,                0.86112,                0.90196,                0.92671,                0.45506,                  3.548,                 1.6953,                 3.9137,              0.0019327,              0.0019327,              0.0019327
                     36,                   2.92,                 1.4577,                 3.0064,                0.80515,                 0.8265,                0.86338,                 0.4245,                 3.2004,                 8.8486,                 3.8351,              0.0019307,              0.0019307,              0.0019307
                     37,                 2.9465,                 1.5081,                 3.0447,                0.76768,                0.78104,                0.80241,                0.33964,                 3.7891,                 67.824,                 3.9991,              0.0019287,              0.0019287,              0.0019287
                     38,                 2.8424,                 1.4186,                 2.9442,                0.79082,                0.81818,                0.82463,                 0.4215,                 3.3164,                 21.149,                 3.9142,              0.0019267,              0.0019267,              0.0019267
                     39,                 2.9433,                  1.363,                 2.9234,                0.96768,                0.54449,                0.62011,                 0.2454,                 4.1731,                 8.0497,                 4.5436,              0.0019248,              0.0019248,              0.0019248
                     40,                 2.9287,                 1.3216,                 2.9677,                0.85378,                0.74545,                0.79937,                0.39628,                 3.3146,                 2.3399,                 4.0351,              0.0019228,              0.0019228,              0.0019228
                     41,                 2.8916,                 1.3614,                 2.9045,                0.86559,                0.63636,                 0.7986,                0.37996,                 3.4988,                  2.217,                 4.0285,              0.0019208,              0.0019208,              0.0019208
                     42,                  2.846,                  1.378,                 2.9739,                0.61121,                0.72727,                0.66142,                  0.343,                 3.3195,                  3.175,                 3.7644,              0.0019188,              0.0019188,              0.0019188
                     43,                 2.8038,                 1.3732,                 2.9653,                0.72665,                0.89091,                0.82646,                0.40629,                 3.2463,                 1.6631,                 3.9171,              0.0019168,              0.0019168,              0.0019168
                     44,                  2.738,                 1.2124,                  2.916,                 0.8823,                 0.9541,                0.96293,                0.50114,                  3.065,                 1.2543,                 3.6725,              0.0019149,              0.0019149,              0.0019149
                     45,                 2.8116,                 1.3138,                 2.9924,                0.93143,                0.87273,                0.95473,                0.49605,                 3.3244,                  1.358,                 3.7817,              0.0019129,              0.0019129,              0.0019129
                     46,                  2.788,                 1.3754,                 2.8879,                0.94338,                 0.9088,                0.96146,                 0.4814,                 3.0662,                  1.291,                 3.8344,              0.0019109,              0.0019109,              0.0019109
                     47,                 2.6485,                  1.204,                 2.8879,                0.90213,                0.83797,                0.91948,                0.43215,                 3.4684,                 1.6892,                 3.9069,              0.0019089,              0.0019089,              0.0019089
                     48,                 2.7126,                 1.2109,                 2.8483,                 0.7859,                0.72727,                0.78592,                  0.392,                 3.5074,                 2.0445,                 3.8838,              0.0019069,              0.0019069,              0.0019069
                     49,                 2.8317,                 1.2038,                 2.9548,                0.98362,                0.72727,                0.85461,                0.40448,                  3.492,                 2.2696,                 3.9461,               0.001905,               0.001905,               0.001905
                     50,                  2.818,                 1.3372,                  2.837,                0.97769,                0.79688,                 0.8833,                0.49328,                 3.1166,                 1.5625,                 3.7244,               0.001903,               0.001903,               0.001903
                     51,                  2.831,                 1.2986,                 2.8588,                0.94062,                0.86406,                 0.9374,                0.46002,                 3.4348,                 1.3076,                 3.9366,               0.001901,               0.001901,               0.001901
                     52,                 2.6321,                 1.1258,                 2.7684,                0.83462,                0.87273,                 0.8673,                0.40608,                  3.514,                 1.6275,                 3.9533,               0.001899,               0.001899,               0.001899
                     53,                 2.7029,                 1.1132,                 2.8759,                0.92614,                  0.912,                0.97424,                0.51578,                 3.0865,                 1.3667,                 3.6952,               0.001897,               0.001897,               0.001897
                     54,                 2.7613,                 1.3418,                 2.8651,                0.86069,                0.89873,                0.91757,                0.47313,                 3.2864,                 1.3565,                  3.796,              0.0018951,              0.0018951,              0.0018951
                     55,                 2.6656,                 1.1534,                 2.8066,                0.88665,                0.85332,                0.92283,                0.48425,                 3.2938,                 1.3834,                 3.8584,              0.0018931,              0.0018931,              0.0018931
                     56,                  2.573,                 1.0997,                 2.7614,                0.93951,                0.84731,                0.90064,                0.44962,                  3.554,                 1.7318,                 4.0936,              0.0018911,              0.0018911,              0.0018911
                     57,                 2.4699,                 1.0849,                 2.7486,                0.95492,                0.81818,                0.92213,                0.43827,                 3.6423,                 1.4946,                 4.1228,              0.0018891,              0.0018891,              0.0018891
                     58,                 2.6794,                 1.2728,                 2.8642,                0.91673,                0.80072,                0.87245,                0.46555,                 3.1587,                 1.6788,                  3.784,              0.0018871,              0.0018871,              0.0018871
                     59,                 2.5915,                 1.1932,                  2.811,                0.86733,                0.83207,                0.87493,                0.50018,                 2.9403,                 1.6163,                 3.6716,              0.0018852,              0.0018852,              0.0018852
                     60,                 2.7246,                 1.1842,                 2.8959,                0.84737,                0.90909,                0.93545,                0.54447,                 3.0076,                  1.262,                 3.7154,              0.0018832,              0.0018832,              0.0018832
                     61,                 2.7729,                 1.1836,                  2.847,                0.72713,                0.81818,                0.86371,                0.48071,                 3.1883,                 1.6144,                 3.8091,              0.0018812,              0.0018812,              0.0018812
                     62,                 2.7216,                 1.2039,                 2.8497,                0.86564,                0.87273,                0.91023,                0.42389,                 3.5164,                 1.8515,                 3.7277,              0.0018792,              0.0018792,              0.0018792
                     63,                 2.6332,                 1.1079,                 2.7965,                0.65362,                0.78182,                0.73806,                0.35003,                 3.3753,                 2.2917,                 4.0038,              0.0018772,              0.0018772,              0.0018772
                     64,                 2.6774,                 1.2425,                 2.8461,                0.65953,                0.74545,                0.76773,                0.38644,                 3.3881,                 1.8941,                 3.9997,              0.0018753,              0.0018753,              0.0018753
                     65,                 2.5658,                 1.1244,                 2.7887,                0.88682,                0.85479,                0.90527,                0.43695,                 3.5835,                 1.4238,                 4.3549,              0.0018733,              0.0018733,              0.0018733
                     66,                 2.5332,                 1.1278,                 2.7464,                0.91525,                0.81818,                 0.8786,                0.27879,                 4.6652,                 1.5549,                 4.5079,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.7484,                  1.213,                 2.7763,                0.86791,                0.89091,                0.93031,                0.38664,                 4.0096,                 1.6725,                 4.1488,              0.0018693,              0.0018693,              0.0018693
                     68,                 2.6719,                 1.1585,                 2.8122,                0.88826,                0.87273,                0.93044,                0.50094,                 3.4251,                 1.3418,                 3.9401,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.7411,                 1.2206,                 2.7839,                0.95768,                0.89091,                 0.9466,                0.50688,                 3.2369,                 1.2334,                 3.9716,              0.0018654,              0.0018654,              0.0018654
                     70,                 2.7826,                 1.2658,                 2.8645,                0.93977,                0.85455,                0.90739,                0.44065,                 3.4154,                 1.5852,                 4.0975,              0.0018634,              0.0018634,              0.0018634
                     71,                 2.5941,                 1.2175,                  2.725,                0.88711,                0.78182,                0.83959,                0.45852,                 3.1342,                 1.8369,                 3.6752,              0.0018614,              0.0018614,              0.0018614
                     72,                 2.5562,                 1.1893,                 2.7753,                0.89563,                0.78017,                0.84761,                 0.4418,                 3.2087,                 2.0446,                  3.808,              0.0018594,              0.0018594,              0.0018594
                     73,                  2.689,                 1.1671,                 2.8143,                0.68568,                0.67273,                0.72266,                0.37855,                  3.385,                 3.1516,                 3.8706,              0.0018574,              0.0018574,              0.0018574
                     74,                 2.5617,                 1.1479,                 2.8019,                0.82915,                0.74545,                0.79654,                0.37957,                 3.5938,                 2.7559,                 4.0229,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.5852,                   1.13,                 2.7746,                0.86888,                0.84344,                0.89407,                0.45433,                 3.1842,                 1.7804,                 3.8742,              0.0018535,              0.0018535,              0.0018535
                     76,                  2.484,                 1.0793,                 2.7341,                0.76004,                0.76364,                0.87532,                0.45429,                   3.18,                 1.7797,                 3.8414,              0.0018515,              0.0018515,              0.0018515
                     77,                 2.6359,                 1.1286,                 2.6581,                 0.8473,                0.90909,                0.93706,                0.45622,                 3.2957,                 1.5628,                 4.0722,              0.0018495,              0.0018495,              0.0018495
                     78,                 2.5538,                 1.1837,                 2.8925,                0.89354,                0.91568,                0.96171,                0.49763,                 3.3298,                 1.5282,                 3.9638,              0.0018475,              0.0018475,              0.0018475
